scaffold	start	end	mid	sites	sitesUsed	ABBA	BABA	D	fd	fdM	gene_count_per_window	cM/Mb	Fst_aridus_longiflorus	Fst_aridus_longiflorus_island	Fst_aridus_parviflorus	Fst_aridus_calycinus	Fst_longiflorus_longiflorus_island	Fst_longiflorus_parviflorus	Fst_longiflorus_calycinus	Fst_longiflorus_island_parviflorus	Fst_longiflorus_island_calycinus	Fst_parviflorus_calycinus	average_dxy_ari_par	average_dxy_lon_isl_lon	average_dxy_par_isl_lon
LG1	2000001	2100000	2049335	7353	4129	155.9779	52.2279	0.4983	0.224	0.1211	15	2.827492856	0.409	0.3571	0.4799	0.4941	0.1239	0.3849	0.0394	0.2724	0.1424	0.4142	0.011002094229982	0.009836726811783	0.009717786874637
LG1	2100001	2200000	2142535	5649	3027	168.5648	29.7939	0.6996	0.3601	0.1751	11	0.113597637	0.5152	0.4517	0.6071	0.5687	0.1696	0.4392	0.0041	0.2683	0.1803	0.4376	0.0116886044472	0.008213165025167	0.007578225288317
LG1	2200001	2300000	2246870	5808	3124	93.9401	52.9193	0.2793	0.0866	0.0493	13		0.4465	0.5637	0.498	0.4447	0.2038	0.4276	-0.0051	0.5053	0.1623	0.3846	0.011037179595272	0.006695267247508	0.00954291492139
LG1	2300001	2400000	2343462	5116	2783	104.5973	49.5999	0.3567	0.2012	0.1099	14	0	0.3214	0.263	0.3341	0.3175	0.1676	0.356	0.0501	0.2512	0.147	0.3302	0.010948004387517	0.007513679470158	0.008161837051194
LG1	2400001	2500000	2460004	4760	2709	73.473	23.762	0.5112	0.1201	0.0689	16	2.72520561	0.5596	0.6276	0.5557	0.5982	0.2357	0.4845	0.0538	0.5353	0.2322	0.4749	0.010443154431287	0.005907057574854	0.009245760533401
LG1	2500001	2600000	2549088	7178	4132	138.9391	47.0433	0.4941	0.1876	0.0963	18	0.009924967	0.5095	0.5122	0.4515	0.5677	0.1139	0.3942	0.0174	0.3853	0.149	0.4019	0.011311521705587	0.005456265799789	0.009141103638572
LG1	2600001	2700000	2650618	7145	4058	109.3223	77.5124	0.1703	0.0513	0.0305	14	2.129768614	0.479	0.5061	0.5447	0.5456	0.1029	0.4811	0.0195	0.5087	0.0774	0.4897	0.012811798003623	0.007237730060709	0.013359817834694
LG1	2700001	2800000	2760293	4748	2477	58.9753	33.0924	0.2811	0.0715	0.0425	8	6.5811967	0.4119	0.4653	0.3997	0.4896	0.1002	0.3406	0.0331	0.4025	0.166	0.3565	0.012914398199877	0.009621175686203	0.01493895240746
LG1	2800001	2900000	2854430	6229	3474	173.8291	31.9593	0.6894	0.2777	0.1551	10	1.94645634	0.5301	0.5296	0.5196	0.5679	0.1589	0.4267	0.0734	0.3989	0.1833	0.4117	0.01309047691436	0.006555763299403	0.009900161901732
LG1	2900001	3000000	2948285	5778	3490	163.1016	60.474	0.459	0.242	0.1159	13		0.4489	0.4296	0.4811	0.4031	0.0939	0.2747	0.0452	0.3064	0.0911	0.2593	0.013518525690487	0.007145781832415	0.009229555768048
LG1	3000001	3100000	3050647	6834	4158	85.2526	51.3906	0.2478	0.07	0.0363	16	0	0.5967	0.552	0.4826	0.6063	0.1042	0.4572	0.0543	0.4298	0.0939	0.4191	0.010376007116813	0.004726851858022	0.009437074618233
LG1	3100001	3200000	3153855	6747	4112	98.2975	59.3366	0.2472	0.0754	0.0409	14	0.403272514	0.5253	0.5217	0.4742	0.5392	0.0777	0.4292	0.0489	0.431	0.1274	0.3884	0.011196537322906	0.005153376973162	0.010345538882426
LG1	3200001	3300000	3248304	6982	3930	101.1937	45.0192	0.3842	0.1156	0.0567	16	3.800969065	0.6111	0.5384	0.5017	0.527	0.164	0.426	0.0963	0.3848	0.1192	0.3179	0.011811467476501	0.006153302790543	0.009882268079307
LG1	3300001	3400000	3345767	5885	3214	65.1803	17.7689	0.5716	0.1024	0.0577	14	3.693435061	0.6857	0.6927	0.5342	0.6766	0.1744	0.524	0.1126	0.5426	0.1913	0.4712	0.008683934581769	0.003420457415638	0.008210974977404
LG1	3400001	3500000	3452604	4493	2520	30.3997	38.931	-0.1231	-0.024	-0.0138	11		0.5876	0.6178	0.3095	0.6173	0.1429	0.4781	0.0535	0.5151	0.1123	0.4469	0.010581333353864	0.005899707037303	0.014648736536593
LG1	3500001	3600000	3549079	7226	3814	111.1572	60.3265	0.2964	0.0746	0.0424	10		0.6439	0.6832	0.5925	0.67	0.2459	0.5753	0.0905	0.6086	0.2684	0.5495	0.012720697084271	0.004523522781068	0.011611826988265
LG1	3600001	3700000	3648994	5886	3028	33.1149	63.6436	-0.3155	-0.0544	-0.034	12		0.5556	0.6429	0.5447	0.6011	0.2423	0.5818	0.0829	0.6548	0.2837	0.5745	0.00984280263283	0.004406604240331	0.010283532285393
LG1	3700001	3800000	3752511	8041	4628	215.5811	66.6826	0.5275	0.201	0.1109	15		0.5152	0.5476	0.5278	0.5531	0.1494	0.4177	0.0357	0.4465	0.1704	0.4056	0.015058011119618	0.00772119989388	0.012045862367082
LG1	3800001	3900000	3848580	7495	3774	122.9059	50.721	0.4157	0.1165	0.0718	10	7.663776568	0.5126	0.5825	0.4811	0.5145	0.2267	0.4839	0.0537	0.541	0.2304	0.4469	0.012757548040455	0.007241837366996	0.012641917644302
LG1	3900001	4000000	3948917	7282	3729	61.8193	109.7516	-0.2794	-0.0703	-0.0411	13	0	0.5237	0.6251	0.5668	0.522	0.1367	0.5389	0.0514	0.6266	0.1774	0.5044	0.012610141229151	0.00583849182665	0.013595965102352
LG1	4000001	4100000	4048355	7057	3915	131.3333	82.2839	0.2296	0.0691	0.0398	12	0	0.4891	0.5245	0.5848	0.4355	0.1476	0.5178	0.0919	0.5631	0.1213	0.4485	0.015973795591702	0.007649600168172	0.013776586434099
LG1	4100001	4200000	4159511	5238	3157	80.3512	28.7939	0.4724	0.0819	0.0578	9	5.032866141	0.5986	0.6979	0.5128	0.5926	0.2947	0.664	0.0474	0.7444	0.3133	0.6301	0.012883459065802	0.005118552765524	0.014951472200269
LG1	4200001	4300000	4251452	7505	4257	69.083	82.0778	-0.086	-0.019	-0.0119	15	8.434753612	0.4962	0.5792	0.4362	0.4559	0.2482	0.4897	0.0403	0.5683	0.2388	0.4284	0.014084977013199	0.006627609070317	0.014574973784647
LG1	4300001	4400000	4357686	6175	3366	72.1732	62.082	0.0752	0.0239	0.0146	10	0.546949195	0.3595	0.3952	0.3295	0.2903	0.1664	0.38	0.063	0.4002	0.1611	0.2818	0.01128137174548	0.007805037614409	0.011638816775657
LG1	4400001	4500000	4451545	7026	4204	95.2041	50.0505	0.3109	0.072	0.0472	11	4.451348429	0.3034	0.4411	0.437	0.333	0.2024	0.3531	0.0621	0.4805	0.1631	0.3356	0.011260641993413	0.014106402412907	0.016313819610788
LG1	4500001	4600000	4548602	7278	3968	106.318	52.5264	0.3386	0.0883	0.0527	9	6.54438195	0.5703	0.5968	0.4684	0.5476	0.1765	0.4873	0.021	0.5236	0.146	0.4303	0.011911147230753	0.004979882639442	0.011197765817916
LG1	4600001	4700000	4649520	8185	4380	71.1426	98.5618	-0.1616	-0.0396	-0.0247	14	5.291497166	0.4261	0.5621	0.4555	0.4664	0.1753	0.4458	0.0399	0.5826	0.2666	0.4221	0.011695269080758	0.009974895570772	0.017430131654242
LG1	4700001	4800000	4741353	6517	3717	178.097	102.0605	0.2714	0.109	0.0548	9	7.918263155	0.5852	0.5482	0.5749	0.6612	0.2187	0.5845	0.1439	0.5266	0.2721	0.6124	0.021640254687666	0.010153775597492	0.01797450716043
LG1	4800001	4900000	4859361	5183	2931	45.8086	82.4258	-0.2855	-0.0608	-0.04	12	0	0.553	0.5424	0.441	0.5998	0.1566	0.5815	0.0903	0.5807	0.2014	0.5726	0.018659626871961	0.010645461394789	0.025427509098059
LG1	4900001	5000000	4943351	4419	1924	54.3594	50.2578	0.0392	0.0143	0.0081	8	1.572761116	0.3638	0.4626	0.5211	0.3163	0.1594	0.3565	0.0664	0.4517	0.2085	0.3114	0.011880494229286	0.008627131531193	0.011004864258097
LG1	5000001	5100000	5050336	8144	4157	93.2845	57.4043	0.2381	0.0673	0.0391	11	1.045103689	0.4243	0.3781	0.2918	0.3433	0.0861	0.3751	0.0476	0.3365	0.1039	0.3102	0.012877918141192	0.007808281538806	0.013573057404151
LG1	5100001	5200000	5145408	6822	3700	136.5094	94.7699	0.1805	0.0702	0.042	12	2.3083413	0.3903	0.425	0.2326	0.3351	0.1349	0.3103	0.0665	0.3345	0.0678	0.2381	0.016647843163162	0.011867018021822	0.017902517999213
LG1	5200001	5300000	5263455	5213	3035	138.9619	52.3395	0.4528	0.3189	0.1402	10	1.903593832	0.253	0.4146	0.2325	0.2325	0.1065	0.0942	0.0282	0.1509	0.1003	0.0648	0.016876553834748	0.012223719464526	0.013959711629831
LG1	5300001	5400000	5349400	5680	3119	205.3418	66.5397	0.5105	0.4181	0.2322	12	0	0.1466	0.2272	0.1711	0.1203	0.0749	0.087	0.018	0.1118	0.088	0.0796	0.024606389628239	0.019166894677983	0.01884068441912
LG1	5400001	5500000	5443686	6894	3340	49.3512	132.5908	-0.4575	-0.2209	-0.123	10	9.344799986	0.1426	0.2054	0.332	0.1279	0.0809	0.2381	0.0123	0.3166	0.0787	0.2351	0.01321505804856	0.01057250431408	0.013460074947472
LG1	5500001	5600000	5548683	7972	4100	104.4922	103.6328	0.0041	0.0016	0.001	11	2.695746379	0.3702	0.3225	0.3172	0.3526	0.1349	0.4435	0.0505	0.3832	0.1173	0.3978	0.015532357214362	0.010552603544592	0.0161541610313
LG1	5600001	5700000	5652395	7118	3687	443.4395	29.0671	0.877	0.643	0.4386	10	5.419301114	0.3953	0.405	0.3878	0.4688	0.1793	0.291	0.0436	0.127	0.1826	0.276	0.016748676428682	0.01419835364977	0.010942378808199
LG1	5700001	5800000	5750920	6038	2704	147.0632	35.4225	0.6118	0.2631	0.1547	12	1.072082546	0.5186	0.3636	0.4549	0.5457	0.151	0.434	0.0359	0.259	0.1541	0.42	0.014363648419396	0.010195747139317	0.011860498036988
LG1	5800001	5900000	5844022	6088	2685	142.1237	60.4049	0.4035	0.2024	0.1214	8		0.2847	0.3296	0.2864	0.3231	0.091	0.2333	0.0198	0.2307	0.1232	0.2263	0.023475758376069	0.015425106723132	0.019134161091797
LG1	5900001	6000000	5948488	5236	2242	176.1992	44.8294	0.5944	0.431	0.2511	5		0.1722	0.2436	0.1859	0.1787	0.0904	0.0988	0.0143	0.1311	0.0701	0.0562	0.029284832443141	0.022756943642972	0.025238860778289
LG1	6000001	6100000	6043896	4471	1912	128.3014	72.4551	0.2782	0.219	0.1096	4	23.7607504	0.2672	0.3296	0.2469	0.3153	0.0877	0.1603	0.0687	0.1458	0.0827	0.16	0.021190858021204	0.017402344696544	0.018439444237848
LG1	6100001	6200000	6151324	3698	1764	122.7962	38.6738	0.521	0.3727	0.2049	2		0.1782	0.284	0.2657	0.1377	0.1004	0.1446	0.0576	0.1589	0.1044	0.1507	0.018575435871988	0.016216194144745	0.014718877038949
LG1	6200001	6300000	6272588	2215	826	66.3398	10.6784	0.7227	0.4934	0.258	4	0	0.3629	0.3575	0.2983	0.3327	0.1172	0.1491	0.0181	0.1168	0.0979	0.1173	0.011609815584577	0.007605734624485	0.007345378885068
LG1	6300001	6400000	6347929	5722	2755	138.9854	63.0348	0.376	0.2618	0.1326	5	3.024701965	0.2559	0.3277	0.3028	0.2773	0.1613	0.2233	0.0504	0.1552	0.1206	0.1711	0.017809391258862	0.014335164421702	0.01387199776291
LG1	6400001	6500000	6433894	4638	2460	74.9961	36.3581	0.347	0.2394	0.1218	6	5.275325607	0.2092	0.2889	0.1787	0.2555	0.0634	0.1042	0.0374	0.1388	0.0966	0.1153	0.015129990129262	0.012183664300995	0.014008118081307
LG1	6500001	6600000	6547867	4795	2209	116.7839	71.5234	0.2404	0.1961	0.1161	8	0	0.1388	0.1173	0.18	0.153	0.0795	0.1626	0.0194	0.1282	0.0991	0.1904	0.018436721009615	0.016229333884475	0.016112546219211
LG1	6600001	6700000	6651711	8014	3642	400.6947	80.8822	0.6641	0.4117	0.2671	8	0	0.3066	0.4071	0.4293	0.4203	0.1149	0.2761	0.0528	0.2807	0.1321	0.2632	0.023334601791869	0.013888053214743	0.016298300193622
LG1	6700001	6800000	6758019	6948	3618	172.2171	105.4046	0.2407	0.1891	0.077	5		0.3125	0.343	0.3379	0.4044	0.0814	0.186	0.0628	0.1668	0.1127	0.1784	0.025011159786212	0.01643376940412	0.019454997561702
LG1	6800001	6900000	6848964	7836	4156	183.2581	128.7425	0.1747	0.1307	0.0633	7	0.126177658	0.1924	0.2217	0.3222	0.1964	0.0406	0.1783	0.0085	0.1735	0.0403	0.1485	0.020824688193472	0.017382962904819	0.018151938572149
LG1	6900001	7000000	6950230	4236	2334	72.7777	64.0459	0.0638	0.0461	0.0226	7		0.209	0.17	0.2221	0.166	0.0884	0.2069	0.042	0.1588	0.0594	0.1504	0.018739150259989	0.01828152535371	0.017864870887197
LG1	7000001	7100000	7056190	6781	2992	157.1029	105.5794	0.1961	0.1043	0.0462	4		0.4975	0.5372	0.4955	0.4676	0.1536	0.2985	0.0332	0.3621	0.139	0.2548	0.027568694169038	0.013851912941703	0.020698437408627
LG1	7100001	7200000	7148076	6508	2986	151.1667	47.0703	0.5251	0.3105	0.1955	5		0.245	0.2797	0.2291	0.2617	0.1073	0.1465	0.0295	0.1768	0.1042	0.1038	0.022355702374388	0.018758492389907	0.020666408573033
LG1	7200001	7300000	7256341	3926	1756	116.5117	26.9466	0.6243	0.3371	0.2248	6	7.283447498	0.1896	0.3495	0.2034	0.1876	0.1588	0.1111	0.0495	0.1673	0.1585	0.0937	0.017758926201296	0.015543993148242	0.01510540427792
LG1	7300001	7400000	7351539	6956	4123	239.3695	68.3148	0.5559	0.3509	0.2259	4		0.2657	0.2327	0.229	0.2521	0.0871	0.1756	0.0609	0.1489	0.0654	0.1481	0.026422796366789	0.019323563201486	0.021989065030946
LG1	7400001	7500000	7455752	8171	3894	126.0726	72.057	0.2726	0.1239	0.0791	4		0.2525	0.2433	0.1887	0.1855	0.2011	0.2003	0.0449	0.2065	0.1379	0.1357	0.018965961996385	0.016915686373615	0.018221986182558
LG1	7500001	7600000	7538111	5018	2118	58.0381	28.2881	0.3446	0.1217	0.0893	8		0.1009	0.2046	0.1555	0.0809	0.2007	0.2019	0.059	0.2307	0.1517	0.1364	0.018627674971597	0.017614949885475	0.017000576895241
LG1	7600001	7700000	7665305	6821	2961	175.2646	63.3923	0.4688	0.2886	0.1838	7		0.1408	0.2175	0.1816	0.1188	0.106	0.2124	0.1084	0.2607	0.2287	0.1642	0.022905579258484	0.017593499513531	0.019307058869287
LG1	7700001	7800000	7742571	7571	3330	199.6396	31.8141	0.7251	0.5413	0.2993	2	0	0.2629	0.1971	0.1893	0.2341	0.2674	0.2944	0.0671	0.0615	0.253	0.2391	0.022390713180884	0.018540114776406	0.013884580059612
LG1	7800001	7900000	7851765	5275	2602	117.8483	50.6009	0.3992	0.3188	0.1695	6	0	0.1655	0.1733	0.2027	0.1819	0.1078	0.2018	0.0308	0.1035	0.1142	0.181	0.021460976059162	0.017361193623293	0.017636770594198
LG1	7900001	8000000	7951533	9939	4905	288.248	69.7793	0.6102	0.4297	0.254	6		0.2866	0.3013	0.2814	0.32	0.2373	0.2651	0.0538	0.14	0.2433	0.2667	0.023123490398506	0.02385439434012	0.016780440105675
LG1	8000001	8100000	8053502	7323	2710	147.516	61.6722	0.4104	0.1277	0.0967	2		0.2521	0.2158	0.4288	0.3173	0.1739	0.1642	0.1112	0.3758	0.245	0.2148	0.050872231285042	0.030684429060979	0.043450487149933
LG1	8100001	8200000	8143066	4052	1267	21.2464	43.9495	-0.3482	-0.1151	-0.0629	3		0.2542	0.2708	0.3403	0.3043	0.2829	0.0881	0.009	0.4021	0.3152	0.0814	0.043988443101976	0.028405140488672	0.043222534104876
LG1	8200001	8300000	8246057	5103	2278	42.1904	142.654	-0.5435	-0.3603	-0.1763	8		0.2269	0.1817	0.3178	0.2544	0.2375	0.1295	0.0597	0.3428	0.2369	0.1463	0.046265600033239	0.03290002690668	0.04194784538491
LG1	8300001	8400000	8349203	5570	2713	94.3333	47.7917	0.3275	0.4011	0.1192	3		0.3469	0.2177	0.1816	0.3331	0.1729	0.2419	0.0158	0.0441	0.1413	0.1942	0.01671659684825	0.017536022466217	0.015601019193809
LG1	8400001	8500000	8453798	6896	2872	216.1146	86.4167	0.4287	0.293	0.1803	9		0.3787	0.2573	0.3765	0.4129	0.2232	0.4695	0.0628	0.2029	0.2004	0.4447	0.021594501072613	0.015270120451987	0.01668913396103
LG1	8500001	8600000	8545700	4039	2133	101.2526	40.3724	0.4299	0.3381	0.1518	7		0.3138	0.2855	0.2467	0.2833	0.199	0.2395	0.0525	0.1175	0.1539	0.1741	0.027769473709588	0.021184496918619	0.020556346620436
LG1	8600001	8700000	8658999	7333	3808	354.0176	63.1868	0.6971	0.518	0.228	5		0.3718	0.5146	0.4504	0.3717	0.1664	0.23	0.0304	0.1509	0.1288	0.1879	0.040408784301977	0.021234301451491	0.018206875764461
LG1	8700001	8800000	8742193	8541	4150	143.6077	58.0322	0.4244	0.1456	0.0803	7	1.171593367	0.3083	0.4199	0.4004	0.3561	0.189	0.3082	0.0418	0.3575	0.1774	0.303	0.023835885512457	0.016958223821417	0.019024368127955
LG1	8800001	8900000	8851731	9887	5182	167.042	186.6904	-0.0555	-0.0262	-0.0155	2		0.2709	0.2412	0.2673	0.2608	0.1684	0.3169	-0.0012	0.2734	0.1629	0.2803	0.033914562635417	0.019084894820117	0.032257540476738
LG1	8900001	9000000	8952213	6378	3120	125.9378	77.5029	0.2381	0.1108	0.0682	4		0.229	0.2846	0.3794	0.2214	0.1942	0.3264	0.0199	0.3183	0.1869	0.3032	0.026503783830324	0.019033515117324	0.021482519791073
LG1	9000001	9100000	9050702	5841	3000	132.3262	92.7715	0.1757	0.1397	0.0621	9		0.2114	0.2782	0.3277	0.2336	0.128	0.2549	0.0182	0.176	0.1363	0.2124	0.028528744205301	0.022175035130811	0.025519346847875
LG1	9100001	9200000	9148617	7761	3537	130.7077	105.515	0.1066	0.0975	0.0343	5		0.3281	0.3014	0.3849	0.3928	0.1066	0.2693	0.0412	0.1401	0.131	0.2501	0.01960612407644	0.014576388928465	0.014308950968847
LG1	9200001	9300000	9246403	7371	3380	157.9974	51.1563	0.5108	0.357	0.1733	7	1.404870668	0.2417	0.2615	0.2698	0.3545	0.086	0.197	0.0369	0.1135	0.0947	0.2179	0.022084801258821	0.017554117587945	0.017660558280733
LG1	9300001	9400000	9334820	4792	2337	120.1875	61.5521	0.3226	0.2007	0.1214	8	15.77695906	0.2199	0.2445	0.298	0.1801	0.0889	0.2531	0.0401	0.1763	0.1001	0.2217	0.022865762839501	0.017377124803738	0.019530979015271
LG1	9400001	9500000	9463398	7402	3674	215.6468	108.7744	0.3294	0.2627	0.1475	6	2.133155874	0.1688	0.2314	0.2276	0.1484	0.102	0.1789	0.0104	0.1544	0.0857	0.1476	0.023253200761574	0.019637558503533	0.019621177595302
LG1	9500001	9600000	9542112	6185	3075	111.3206	75.3232	0.1929	0.0985	0.0601	9	0.044265905	0.1603	0.2404	0.2138	0.1726	0.1936	0.1968	0.0487	0.2317	0.1586	0.1497	0.021255187090789	0.019960146799332	0.020350086345984
LG1	9600001	9700000	9651391	6527	2747	132.6185	76.3555	0.2692	0.1605	0.1093	9		0.1399	0.232	0.187	0.1225	0.1315	0.1633	0.0391	0.2096	0.15	0.1407	0.025328221974056	0.019826543830299	0.023047572353286
LG1	9700001	9800000	9746904	6299	2801	100.4554	54.1325	0.2997	0.1419	0.0795	3		0.1796	0.2858	0.2058	0.1974	0.1202	0.1666	0.0246	0.2312	0.1267	0.1399	0.034506931971661	0.025567588581584	0.03499166317608
LG1	9800001	9900000	9844823	9408	4455	208.9245	185.8099	0.0586	0.0345	0.0213	8	1.828975995	0.2352	0.2539	0.2685	0.1691	0.1093	0.2796	0.0532	0.2867	0.1143	0.2446	0.02266664824557	0.014781672050657	0.020860744156295
LG1	9900001	10000000	9951515	10011	5051	208.1722	132.1279	0.2235	0.1464	0.0785	9	1.965377591	0.2943	0.2069	0.2969	0.2664	0.1366	0.2605	0.0211	0.1969	0.1	0.2031	0.020439730703368	0.015907479654689	0.017379411825672
LG1	10000001	10100000	10048640	9196	4540	393.1624	101.5322	0.5895	0.4267	0.2243	10	8.324778225	0.4011	0.3586	0.5242	0.4609	0.1633	0.3634	0.0238	0.1876	0.1466	0.3346	0.021544545373565	0.016100909313769	0.01370489098259
LG1	10100001	10200000	10143707	9288	4273	189.9098	157.3656	0.0937	0.072	0.0297	7		0.3702	0.3256	0.4258	0.4122	0.2102	0.3619	0.034	0.2294	0.2224	0.3486	0.019827789161226	0.016121151269511	0.015053951343028
LG1	10200001	10300000	10249395	8769	4168	179.0986	66.9346	0.4559	0.2443	0.1402	6		0.3407	0.2633	0.3007	0.3828	0.1177	0.36	0.0244	0.2303	0.1163	0.3618	0.022844492198267	0.017973019509201	0.02028769238172
LG1	10300001	10400000	10349946	9097	5044	146.0954	116.6162	0.1122	0.0524	0.0295	6	7.527318607	0.4028	0.3765	0.2454	0.4867	0.177	0.3362	0.0457	0.3131	0.2214	0.3477	0.015680337624042	0.010620184006943	0.016417473048643
LG1	10400001	10500000	10440998	5899	3023	98.6348	107.0905	-0.0411	-0.0141	-0.0085	11		0.4489	0.6616	0.4956	0.4979	0.3028	0.3521	0.0759	0.5835	0.2774	0.4158	0.018950070017669	0.012271263461304	0.017957171691707
LG1	10500001	10600000	10552259	9979	5122	199.7295	126.1436	0.2258	0.0909	0.0494	4		0.478	0.47	0.4636	0.5119	0.17	0.4613	0.032	0.4315	0.1781	0.4422	0.022545046454095	0.012570541789455	0.019407541239684
LG1	10600001	10700000	10646939	9527	5122	264.6227	106.9691	0.4243	0.1856	0.1106	9		0.4513	0.3938	0.4623	0.444	0.192	0.4351	0.0605	0.3445	0.1783	0.3958	0.020070399313926	0.012861872307762	0.016492668476157
LG1	10700001	10800000	10750705	8034	4259	106.596	69.9554	0.2075	0.0607	0.0348	10		0.375	0.492	0.3819	0.451	0.1758	0.307	0.0336	0.3987	0.1902	0.3205	0.014753211671839	0.010727231603141	0.014350081770546
